ID,Year,roe,ta,cc,ffr,lf
SSB,2018,0.076,-0.08514775,0.061834403,0.972580645,0.101179986
SSB,2019,0.079,0.00790062,0.049918222,-0.723225806,0.01556497
SSB,2020,0.03,0.57560369,0.143210333,-1.460967742,-7.588985688
SSB,2021,0.1,0.17559228,0.071445957,-0.010322581,15.91849214
SNV,2004,0.174,0.06269718,0.05064302,1.171935484,1.065023483
SNV,2005,0.183,0.03770142,0.038972171,2.000967742,1.224294601
SNV,2006,0.178,0.02666631,0.032639133,1.080967742,0.671091796
SNV,2007,0.138,0.02634684,0.013461014,-0.993548387,-0.776062595
SNV,2008,-0.166,0.92001516,0.067851275,-4.089354839,-10.79813249
SNV,2009,-0.471,-0.00158462,0.051538923,-0.037096774,-23.4155207
SNV,2010,-0.277,0.07526413,0.057877427,0.06516129,6.06811579
SNV,2011,-0.042,0.18930096,0.085119028,-0.111612903,8.73132471
SNV,2012,0.255,0.00338707,0.081273135,0.092903226,4.94387983
SNV,2013,0.036,0.31913634,0.061679646,-0.079354839,7.899735023
SNV,2014,0.061,0.11914151,0.075446636,0.037419355,4.565764439
SNV,2015,0.072,-0.0023696,0.064467186,0.118064516,1.082028275
SNV,2016,0.081,-0.00585918,0.057874364,0.299354839,1.23973597
SNV,2017,0.089,-0.00303749,0.067805067,0.761612903,0.431470995
SNV,2018,0.134,-0.08514775,0.061834403,0.972580645,0.101179986
SNV,2019,0.113,0.00790062,0.049918222,-0.723225806,0.01556497
SNV,2020,0.067,0.57560369,0.143210333,-1.460967742,-7.588985688
SNV,2021,0.139,0.17559228,0.071445957,-0.010322581,15.91849214
TCBI,2004,0.105,0.06269718,0.05064302,1.171935484,1.065023483
TCBI,2005,0.131,0.03770142,0.038972171,2.000967742,1.224294601
TCBI,2006,0.123,0.02666631,0.032639133,1.080967742,0.671091796
TCBI,2007,0.106,0.02634684,0.013461014,-0.993548387,-0.776062595
TCBI,2008,0.07,0.92001516,0.067851275,-4.089354839,-10.79813249
TCBI,2009,0.04,-0.00158462,0.051538923,-0.037096774,-23.4155207
TCBI,2010,0.072,0.07526413,0.057877427,0.06516129,6.06811579
TCBI,2011,0.131,0.18930096,0.085119028,-0.111612903,8.73132471
TCBI,2012,0.163,0.00338707,0.081273135,0.092903226,4.94387983
TCBI,2013,0.108,0.31913634,0.061679646,-0.079354839,7.899735023
TCBI,2014,0.096,0.11914151,0.075446636,0.037419355,4.565764439
TCBI,2015,0.086,-0.0023696,0.064467186,0.118064516,1.082028275
TCBI,2016,0.082,-0.00585918,0.057874364,0.299354839,1.23973597
TCBI,2017,0.088,-0.00303749,0.067805067,0.761612903,0.431470995
TCBI,2018,0.119,-0.08514775,0.061834403,0.972580645,0.101179986
TCBI,2019,0.112,0.00790062,0.049918222,-0.723225806,0.01556497
TCBI,2020,0.02,0.57560369,0.143210333,-1.460967742,-7.588985688
TCBI,2021,0.074,0.17559228,0.071445957,-0.010322581,15.91849214
BANF,2004,0.139,0.06269718,0.05064302,1.171935484,1.065023483
BANF,2005,0.147,0.03770142,0.038972171,2.000967742,1.224294601
BANF,2006,0.15,0.02666631,0.032639133,1.080967742,0.671091796
BANF,2007,0.146,0.02634684,0.013461014,-0.993548387,-0.776062595
BANF,2008,0.112,0.92001516,0.067851275,-4.089354839,-10.79813249
BANF,2009,0.077,-0.00158462,0.051538923,-0.037096774,-23.4155207
BANF,2010,0.094,0.07526413,0.057877427,0.06516129,6.06811579
BANF,2011,0.096,0.18930096,0.085119028,-0.111612903,8.73132471
BANF,2012,0.103,0.00338707,0.081273135,0.092903226,4.94387983
BANF,2013,0.1,0.31913634,0.061679646,-0.079354839,7.899735023
BANF,2014,0.109,0.11914151,0.075446636,0.037419355,4.565764439
BANF,2015,0.103,-0.0023696,0.064467186,0.118064516,1.082028275
BANF,2016,0.103,-0.00585918,0.057874364,0.299354839,1.23973597
BANF,2017,0.115,-0.00303749,0.067805067,0.761612903,0.431470995
BANF,2018,0.144,-0.08514775,0.061834403,0.972580645,0.101179986
BANF,2019,0.139,0.00790062,0.049918222,-0.723225806,0.01556497
BANF,2020,0.096,0.57560369,0.143210333,-1.460967742,-7.588985688
BANF,2021,0.148,0.17559228,0.071445957,-0.010322581,15.91849214
BANR,2004,0.092,0.06269718,0.05064302,1.171935484,1.065023483
BANR,2005,0.055,0.03770142,0.038972171,2.000967742,1.224294601
BANR,2006,0.133,0.02666631,0.032639133,1.080967742,0.671091796
BANR,2007,0.096,0.02634684,0.013461014,-0.993548387,-0.776062595
BANR,2008,-0.316,0.92001516,0.067851275,-4.089354839,-10.79813249
BANR,2009,-0.106,-0.00158462,0.051538923,-0.037096774,-23.4155207
BANR,2010,-0.14,0.07526413,0.057877427,0.06516129,6.06811579
BANR,2011,-0.005,0.18930096,0.085119028,-0.111612903,8.73132471
BANR,2012,0.107,0.00338707,0.081273135,0.092903226,4.94387983
BANR,2013,0.088,0.31913634,0.061679646,-0.079354839,7.899735023
BANR,2014,0.095,0.11914151,0.075446636,0.037419355,4.565764439
BANR,2015,0.055,-0.0023696,0.064467186,0.118064516,1.082028275
BANR,2016,0.064,-0.00585918,0.057874364,0.299354839,1.23973597
BANR,2017,0.046,-0.00303749,0.067805067,0.761612903,0.431470995
BANR,2018,0.104,-0.08514775,0.061834403,0.972580645,0.101179986
BANR,2019,0.095,0.00790062,0.049918222,-0.723225806,0.01556497
BANR,2020,0.071,0.57560369,0.143210333,-1.460967742,-7.588985688
BANR,2021,0.121,0.17559228,0.071445957,-0.010322581,15.91849214
TRMK,2004,0.16,0.06269718,0.05064302,1.171935484,1.065023483
TRMK,2005,0.14,0.03770142,0.038972171,2.000967742,1.224294601
TRMK,2006,0.145,0.02666631,0.032639133,1.080967742,0.671091796
TRMK,2007,0.12,0.02634684,0.013461014,-0.993548387,-0.776062595
TRMK,2008,0.091,0.92001516,0.067851275,-4.089354839,-10.79813249
TRMK,2009,0.062,-0.00158462,0.051538923,-0.037096774,-23.4155207
TRMK,2010,0.088,0.07526413,0.057877427,0.06516129,6.06811579
TRMK,2011,0.089,0.18930096,0.085119028,-0.111612903,8.73132471
TRMK,2012,0.093,0.00338707,0.081273135,0.092903226,4.94387983
TRMK,2013,0.087,0.31913634,0.061679646,-0.079354839,7.899735023
TRMK,2014,0.088,0.11914151,0.075446636,0.037419355,4.565764439
TRMK,2015,0.079,-0.0023696,0.064467186,0.118064516,1.082028275
TRMK,2016,0.071,-0.00585918,0.057874364,0.299354839,1.23973597
TRMK,2017,0.068,-0.00303749,0.067805067,0.761612903,0.431470995
TRMK,2018,0.094,-0.08514775,0.061834403,0.972580645,0.101179986
TRMK,2019,0.092,0.00790062,0.049918222,-0.723225806,0.01556497
TRMK,2020,0.094,0.57560369,0.143210333,-1.460967742,-7.588985688
TRMK,2021,0.084,0.17559228,0.071445957,-0.010322581,15.91849214
CATY,2004,0.131,0.06269718,0.05064302,1.171935484,1.065023483
CATY,2005,0.141,0.03770142,0.038972171,2.000967742,1.224294601
CATY,2006,0.136,0.02666631,0.032639133,1.080967742,0.671091796
CATY,2007,0.134,0.02634684,0.013461014,-0.993548387,-0.776062595
CATY,2008,0.046,0.92001516,0.067851275,-4.089354839,-10.79813249
CATY,2009,-0.066,-0.00158462,0.051538923,-0.037096774,-23.4155207
CATY,2010,-0.003,0.07526413,0.057877427,0.06516129,6.06811579
